company_name,fortune_rank,industry,headquarters,employee_count,revenue_band,founded,website,technologies,description,primodato_url
Amazon,,Internet,"Services and Retailing Seattle, Washington, United States","5,000+",$500M+,-,amazon.com,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Alphabet Internet Services and Retailing | United States Meta Internet Services and Retailing | United States Uber Internet Services and Retailing | United States Coupang Internet Services and Retailing | United States Booking.com Internet Services and Retailing | United States Primo Dato Log in Start free","Amazon is a multinational technology company focusing on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the world's largest online retailers and a prominent provider of cloud infrastructure services. Internet Services and Retailing Seattle, Washington, United States 5,000+ $500M+",http://primodato.com/companies/amazon-0072
Walmart,,General,"Merchandisers Bentonville, Arkansas, United States","5,000+",$500M+,-,walmart.com,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Costco General Merchandisers | United States Target General Merchandisers | United States Macy's General Merchandisers | United States BJ's Wholesale Club General Merchandisers | United States Kohl's General Merchandisers | United States Primo Dato Log in Start free","Walmart Inc. is a multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores, providing a wide range of products at low prices. General Merchandisers Bentonville, Arkansas, United States 5,000+ $500M+",http://primodato.com/companies/walmart-1778
Apple,,"Computers,","Office Equipment Cupertino, California, United States","5,000+",$500M+,-,apple.com,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Dell Technologies Computers, Office Equipment | United States HP Computers, Office Equipment | United States Hewlett Packard Computers, Office Equipment | United States Super Micro Computer Computers, Office Equipment | United States Western Digital Computers, Office Equipment | United States Primo Dato Log in Start free","Apple Inc. is a global technology company that designs, manufactures, and markets consumer electronics, software, and services, including products such as the iPhone, Mac, iPad, and Apple Watch. Computers, Office Equipment Cupertino, California, United States 5,000+ $500M+",http://primodato.com/companies/apple-1633
Microsoft,,Computer,"Software Redmond, Washington, United States","5,000+",$500M+,-,microsoft.com,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Oracle Computer Software | United States Salesforce Computer Software | United States Adobe Computer Software | United States Intuit Computer Software | United States ServiceNow Computer Software | United States Primo Dato Log in Start free","Microsoft Corporation is a global technology company that develops, manufactures, licenses, supports, and sells software, consumer electronics, personal computers, and related services. Computer Software Redmond, Washington, United States 5,000+ $500M+",http://primodato.com/companies/microsoft-7125
Alphabet,,Internet,"Services and Retailing Mountain View, California, United States","5,000+",$500M+,-,abc.xyz,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Amazon Internet Services and Retailing | United States Meta Internet Services and Retailing | United States Uber Internet Services and Retailing | United States Coupang Internet Services and Retailing | United States Booking.com Internet Services and Retailing | United States Primo Dato Log in Start free","Alphabet Inc. is the parent company of Google and several other subsidiaries, focusing on technology, innovation, and investment across various sectors including internet services, life sciences, and more. Internet Services and Retailing Mountain View, California, United States 5,000+ $500M+",http://primodato.com/companies/alphabet-0047
Meta,,Internet,"Services and Retailing Menlo Park, California, United States","5,000+",$500M+,-,meta.com,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Amazon Internet Services and Retailing | United States Alphabet Internet Services and Retailing | United States Uber Internet Services and Retailing | United States Coupang Internet Services and Retailing | United States Booking.com Internet Services and Retailing | United States Primo Dato Log in Start free","Meta Platforms, Inc. is a multinational technology company known for products like Facebook, Instagram, and WhatsApp, focusing on social media, virtual reality, and the metaverse. Internet Services and Retailing Menlo Park, California, United States 5,000+ $500M+",http://primodato.com/companies/meta-7935
Nvidia,,Semiconductors,"and Other Electronic Components Santa Clara, California, United States","5,000+",$500M+,-,nvidia.com,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Broadcom Semiconductors and Other Electronic Components | United States Intel Semiconductors and Other Electronic Components | United States Qualcomm Semiconductors and Other Electronic Components | United States Micron Technology Semiconductors and Other Electronic Components | United States Advanced Micro Devices Semiconductors and Other Electronic Components | United States Primo Dato Log in Start free","Nvidia is a technology company specializing in graphics processing units (GPUs) for gaming, professional visualization, data centers, and automotive markets. They are known for driving advancements in AI, computing, and visual computing technologies. Semiconductors and Other Electronic Components Santa Clara, California, United States 5,000+ $500M+",http://primodato.com/companies/nvidia-7145
Chevron,,Petroleum,"Refining Houston, Texas, United States","5,000+",$500M+,-,chevron.com,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Exxon Mobil Petroleum Refining | United States Marathon Petroleum Petroleum Refining | United States Phillips 66 Petroleum Refining | United States Valero Energy Petroleum Refining | United States PBF Energy Petroleum Refining | United States Primo Dato Log in Start free","Chevron Corporation is a major American multinational energy corporation involved in every aspect of the oil, natural gas, and geothermal energy industries, including exploration, production, refining, and marketing. Petroleum Refining Houston, Texas, United States 5,000+ $500M+",http://primodato.com/companies/chevron-0721
Exxon Mobil,,Petroleum,"Refining Spring, Texas, United States","5,000+",$500M+,-,,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Chevron Petroleum Refining | United States Marathon Petroleum Petroleum Refining | United States Phillips 66 Petroleum Refining | United States Valero Energy Petroleum Refining | United States PBF Energy Petroleum Refining | United States Primo Dato Log in Start free",,http://primodato.com/companies/exxon-mobil-8718
Ford Motor,,Motor Vehicles &,"Parts Dearborn, Michigan, United States","5,000+",$500M+,-,,"(0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies General Motors Motor Vehicles & Parts | United States Tesla Motor Vehicles & Parts | United States Paccar Motor Vehicles & Parts | United States Lear Motor Vehicles & Parts | United States Goodyear Tire & Rubber Motor Vehicles & Parts | United States Primo Dato Log in Start free",,http://primodato.com/companies/ford-motor-0739
